"id","service_a","service_b","service_c","service_d","service_e","service_f","service_g","service_h","service_i","service_j","service_k","service_l","service_m","service_n"
16757,0.444,0.412,0.228,0.514,0.114,0.042,0.054,0.448,0.032,0.662,0.78,0.008,0.018,0.528
9752,0.116,0.116,0.182,0,0.08,0.006,0.03,0.084,0.012,0.726,0.854,0.046,0.042,0.232
12839,0.302,0.11,0.152,0.092,0.134,0.032,0.034,0.21,0.02,0.7,0.792,0.032,0.058,0.336
7689,0.156,0.148,0.214,0.094,0.1,0.032,0.048,0.168,0.018,0.68,0.85,0.004,0.004,0.298
6885,0.154,0.122,0.232,0,0.052,0.026,0.042,0.34,0.01,0.7,0.83,0.146,0.148,0.236
2103,0.746,0.654,0.214,0,0.002,0.07,0.034,0.154,0.006,0.746,0.862,0,0,0.304
8661,0.332,0.284,0.09,0,0.058,0.016,0.022,0.238,0.016,0.61,0.898,0.282,0.318,0
15658,0.136,0.172,0.066,0.024,0.042,0.036,0.02,0.286,0.016,0.694,0.856,0.006,0,0.296
15109,0.414,0.276,0.166,0,0.036,0.014,0.036,0.772,0.016,0.686,0.924,0.672,0.106,0
602,0.07,0.142,0.448,0,0.008,0.004,0.094,0.002,0,0.426,0.28,0,0,0.098
15931,0.302,0.226,0.114,0,0.012,0.01,0.03,0.366,0.022,0.568,0.836,0.004,0,0
17554,0.82,0.604,0.21,0,0.052,0.01,0.006,0.274,0.01,0.802,0.938,0.516,0.442,0.098
9944,0.25,0.176,0.07,0,0.004,0.002,0.01,0.218,0.012,0.71,0.948,0,0,0
14340,0.258,0.232,0.262,0,0.076,0.022,0.054,0.342,0.016,0.666,0.838,0.174,0.196,0.29
4356,0.498,0.372,0.226,0,0.012,0.02,0.02,0.36,0.01,0.72,0.874,0.058,0,0.178
2011,0.856,0.4,0.186,0,0.026,0,0.02,0.368,0.008,0.702,0.89,0.33,0.256,0
7164,0.154,0.132,0.248,0.002,0.08,0.028,0.064,0.306,0.022,0.702,0.866,0.104,0.088,0.21
2177,0.108,0.122,0.194,0,0.082,0.058,0.062,0.268,0.01,0.74,0.76,0.014,0.042,0.202
1758,0.032,0.028,0.038,0,0.03,0.002,0.006,0.044,0.004,0.782,0.942,0,0.002,0.086
523,0.392,0.36,0.142,0,0.022,0.018,0.032,0.43,0.01,0.684,0.934,0.056,0.07,0
14416,0.08,0.054,0.01,0.03,0.03,0.006,0.008,0.16,0.004,0.704,0.81,0.006,0.004,0.358
10480,0.79,0.562,0.226,0,0.09,0.004,0.012,0.138,0.004,0.792,0.942,0.484,0.378,0.122
11159,0.268,0.15,0.334,0,0.034,0.094,0.136,0.418,0.06,0.716,0.766,0.044,0.006,0.35
11900,0.19,0.348,0.072,0,0.036,0.008,0.02,0.218,0.014,0.66,0.942,0.06,0.022,0
12495,0.026,0.012,0.012,0.002,0.01,0,0,0.044,0,0.726,0.942,0.004,0.01,0.062
15241,0.192,0.158,0.24,0.048,0.058,0.084,0.11,0.282,0.054,0.714,0.818,0.066,0.006,0.336
8262,0.054,0.068,0.02,0,0,0,0.004,0.062,0.002,0.706,0.964,0.002,0,0
1556,0.792,0.608,0.304,0,0.022,0.078,0.09,0.364,0.036,0.676,0.764,0.002,0,0.516
14591,0.344,0.562,0.336,0,0.038,0.068,0.098,0.326,0.048,0.658,0.796,0.032,0.002,0.522
9753,0.81,0.682,0.248,0,0.034,0.002,0.03,0.32,0.004,0.718,0.85,0.276,0.16,0
